# RTVLAS Proof Log
frame=30 timestamp_ms=6000 verdict=Flag trust=0.971 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=31 timestamp_ms=6200 verdict=Flag trust=0.942 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=32 timestamp_ms=6400 verdict=Flag trust=0.913 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=33 timestamp_ms=6600 verdict=Flag trust=0.884 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=34 timestamp_ms=6800 verdict=Flag trust=0.855 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=35 timestamp_ms=7000 verdict=Flag trust=0.826 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=36 timestamp_ms=7200 verdict=Flag trust=0.797 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=37 timestamp_ms=7400 verdict=Flag trust=0.768 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=38 timestamp_ms=7600 verdict=Flag trust=0.739 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=39 timestamp_ms=7800 verdict=Flag trust=0.710 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=40 timestamp_ms=8000 verdict=Flag trust=0.681 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=41 timestamp_ms=8200 verdict=Flag trust=0.652 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=42 timestamp_ms=8400 verdict=Flag trust=0.623 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=43 timestamp_ms=8600 verdict=Flag trust=0.594 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=44 timestamp_ms=8800 verdict=Flag trust=0.565 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=45 timestamp_ms=9000 verdict=Flag trust=0.536 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=46 timestamp_ms=9200 verdict=Flag trust=0.507 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=47 timestamp_ms=9400 verdict=Flag trust=0.478 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=48 timestamp_ms=9600 verdict=Flag trust=0.449 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=49 timestamp_ms=9800 verdict=Flag trust=0.420 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
